0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
7,0,1
6,0,1
5,0,1
6,0,1
7,0,1
8,0,1
7,0,1
7,0,0
8,0,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,5,1
9,6,1
9,5,1
9,5,2
9,6,2
9,7,2
9,8,2
9,9,2
8,9,2
7,9,2
6,9,2
5,9,2
4,9,2
3,9,2
2,9,2
1,9,2
0,9,2
0,8,2
0,7,2
0,6,2
0,5,2
1,5,2
2,5,2
3,5,2
4,5,2
5,5,2
6,5,2
7,5,2
8,5,2
9,5,2
9,5,0
8,5,0
7,5,0
6,5,0
5,5,0
4,5,0
3,5,0
2,5,0
1,5,0
0,5,0
0,6,0
0,7,0
