0,0,0
0,1,0
0,2,0
0,3,0
1,3,0
1,3,1
0,3,1
0,4,1
0,3,1
1,3,1
1,3,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,6,0
0,5,0
0,4,0
0,3,0
1,3,0
1,3,1
0,3,1
0,2,1
0,1,1
0,0,1
0,1,1
0,2,1
0,3,1
1,3,1
1,3,2
0,3,2
0,2,2
0,1,2
1,1,2
1,2,2
1,3,2
1,3,0
1,2,0
1,1,0
1,0,0
2,0,0
3,0,0
4,0,0
3,0,0
2,0,0
1,0,0
1,1,0
1,2,0
1,3,0
1,3,2
1,2,2
1,1,2
1,0,2
2,0,2
3,0,2
4,0,2
5,0,2
6,0,2
7,0,2
8,0,2
9,0,2
9,1,2
9,2,2
9,3,2
9,4,2
9,5,2
9,6,2
9,7,2
9,8,2
9,9,2
8,9,2
7,9,2
6,9,2
5,9,2
4,9,2
3,9,2
3,8,2
3,7,2
3,6,2
3,6,1
3,7,1
4,7,1
4,8,1
4,9,1
5,9,1
6,9,1
7,9,1
8,9,1
9,9,1
